,area,area_code,position,full_info,id,description,tags,published,size,width,height,orientation,site,gender,alias,entities
0,Architecture & Design,40358,,"<p>  has worked as a designer for the last decade in roles spanning a variety of disciplines from graphics to product to interiors. In 2017, , became studio director at Vidivixi, a furniture and interiors design practice based in Mexico City. After leaving in 2023 and relocating to Spain he opened a new design studio with a focus on bespoke, contemporary design-led furniture. </p><h4>Corporate Experience</h4><p>• Studio Director, A&amp;M Studio, Spain, 2023 – Present</p><p>• Studio Director, Vidivixi, Mexico, 2017 – 2023</p><p>• Associate, Becquerel Capital, Mexico, 2014 – 2017</p><p>• Design Partner, The Hub, Hong Kong, 2013 – 2014</p><h4>Academic Background</h4><p>• Bachelor in Graphic Design, Camberwell College of Arts UAL, U.K., 2013</p>",184670.0,,[],2025-06-16T11:48:18.952Z,22834.0,500.0,500.0,S,global,0,Appius Aemilius Agricola,"{'corporate_experience': {'companies': ['A & M Studio', 'Becquerel Capital'], 'locations': ['Spain', 'V', '##idivixi', 'Mexico', 'Mexico', 'The Hub', 'Hong Kong']}, 'academic_experience': {'universities': [], 'degrees': [], 'locations': []}, 'academic_background': {'universities': ['Camberwell College of Arts UAL'], 'degrees': ['Design'], 'locations': ['U. K.']}}"
1,Economics,17166,,"<p>Mr.  Madgar has been teaching economics part time while working in various professional roles across a wide array of industries. He taught undergraduate microeconomics and macroeconomics at Kent State University for 5 years before advancing to teach economic environment &amp; country economic analysis at the masters’ level at IE, where he has been teaching at now going into his third year. He has 21 years of professional work experience ranging from engineering design (where he holds one patent in the US for a ‘nail press’) to director level positions throughout supply chain and operations management. Having worked for large Fortune 100 companies such as GE and Halliburton to small startups such Millwood Inc., where he currently works,  has an extensive background in applied theory in the workplace. A lifelong learner and believer in continuous improvement, he is constantly looking to grow and hone his skills, studying new theories and hypotheses in the business setting in an attempt to determine their practical application under less controlled environments. His passion remains centered around the field of economics where he believes now more than ever, a greater understanding and awareness is required as it pertains to tradeoffs and externalities, along with the ‘true costs’ resulting from the decisions that we make and how these impact all those around us and in what manner.</p><h4>Corporate Experience</h4><p>• Strategic Business Unit Manager, Millwood Inc., USA, 2018-Present</p><p>• Global Manufacturing Director, Permasteelisa, USA, 2015-2018</p><p>• Jet Research Center Manager, Halliburton, USA, 2013-2015</p><p>• Corporate Finance Master Six Sigma Black Belt, Cameron ‘a Schlumberger Co’, USA, 2010-2013</p><p>• Director of Process Technology, Millwood Inc., USA, 2005-2010</p><p>• Corporate Six Sigma Black Belt, MACtac ‘a Bemis Co’, USA, 2003-2005</p><p>• Six Sigma / Lean Manufacturing Black Belt, G.E., USA, 1999-2003</p><h4>Academic Experience</h4><p>•  Adjunct Professor of Economics, IE Business School, Spain, 2018-Present</p><p>•  Adjunct Level II Professor of Economics, Kent State University, USA, 2005-2010</p><h4>Academic Background</h4><p>• E.M.B.A., IE Business School / Brown University, Spain / USA, 2018</p><p>• Strategic Decision &amp; Risk Management Certificate, Stanford, USA, 2014</p><p>• Executive Certificate in HR Leadership, Cornell, USA, 2013</p><p>• Lean Six Sigma Master Black Belt Certificate, Villanova, USA, 2011</p><p>• M.A. Financial Economics, Kent State University, USA, 2004</p><p>• M.B.A., Youngstown State University, USA, 2001</p><p>• B.E. Electrical Engineering, Youngstown State University, USA 2000</p>",16106.0,"Close-up portrait of a smiling man with a beard, looking directly at the camera.",['man' 'portrait' 'smiling' 'beard' 'close-up'],2022-11-18T07:21:20.407Z,7180.0,170.0,170.0,S,global,0,Appius Aemilius Cicero,"{'corporate_experience': {'companies': ['Millwood Inc', 'Jet Research Center', 'Sigma', 'Belt', 'Schlumberger Co ’', 'Process Technology', 'Millwood Inc', 'Six Sigma Black Belt', 'MACtac', 'Bemis Co ’', 'Six Sigma / Lean Manufacturing'], 'locations': ['USA', '##masteelisa', 'USA', 'Halliburton', 'USA', 'USA', 'USA', 'USA', 'Black Belt', 'G', '. E.', 'USA']}, 'academic_experience': {'universities': ['IE Business School', 'Kent State University'], 'degrees': [], 'locations': ['Spain', 'USA']}, 'academic_background': {'universities': ['IE Business School', 'Brown University', 'Kent State University', 'Youngstown State University', 'B. E. Electrical Engineering', 'Youngstown State University'], 'degrees': ['Strategic Decision & Risk Management Certificate', 'Six Sigma', 'Black Belt Certificate'], 'locations': ['Spain', 'USA', 'Stanford', 'USA', 'Cornell', 'USA', 'Villanova', 'USA', 'USA', 'USA', 'USA']}}"
2,Private & Business Law,40353,,"<p>Lawyer with broad experience in Market Regulation, Antitrust Law and EU/International Law Former civil servant of the European Union in Brussels.</p><p>   holds a BS Degree in Law from the University of Valladolid (Spain) and a Master’s Degree in EU Law from the College of Europe, Bruges (Belgium).</p><p>Since 2017 she is an Adjunct Professor at IE University, where she has been teaching Business Law. She was awarded the IE Prize for Teaching Excellence 2018-2019, 2020-2021 and 2021-2022. Ms.   is also an Adjunct Professor at Comillas University, Madrid, where she teaches Antitrust Law and Industrial / Intellectual Property Law (Bachelor in Law / Master in International and European Business Law), as well as Air and Space Law (postgraduate course). Furthermore she was a Visiting Professor at University San Pablo CEU (Madrid), where she taught EU Regulation of Strategic Economic Sectors for 6 years (Bachelor in Law with a specialization in EU and International Law).</p><p>Prof.   commenced her professional career in Brussels, dealing with public affairs before the EU Institutions. She has worked for the Spanish Telecoms Regulator (Deputy Director for Regulation and Antitrust, Deputy Director attached to the General Secretary), the European Commission (Antitrust - M&amp;A, External Trade - Antidumping, External Relations) and the London-based international law firm Bird &amp; Bird (Head of the Telecoms Practice and Off Counsel for Antitrust in the Madrid Office).    obtained the Accolade Chambers EMEA 2012 and 2013.</p><p>Prof.   is currently based in Madrid and works as a consultant specializing in Regulatory Issues and EU Affairs.</p><h4>Corporate Experience</h4><p>• Partner, Creddia Advisors – Regulatory Issues &amp; EU Affairs, Spain, 2013 - Present</p><p>• Head of Telecommunications and Off Counsel for Competition Law, Bird &amp; Bird Law Firm, Spain, 2011 - 2013</p><p>• Deputy Director attached to the General Secretary, Telecommunications Regulatory Authority (currently part of CNMC), Spain, 2008 - 2011</p><p>• Detached National Expert and civil servant, European Commission, Belgium, 2001 - 2008</p><p>• Deputy Director for Regulation and Competition Law, Telecommunications Regulatory Authority (currently part of CNMC), Spain, 1997 - 2001</p><p>• Official, Representation of the Galician Government in Brussels, Belgium, 1993 - 1997</p><h4>Academic Experience</h4><p>• Adjunct Professor of Business Law, IE University, Spain, 2017 - Present</p><p>• Adjunct Professor of Competition Law, Industrial and Intellectual Property Law, Comillas University, Spain, 2019 - Present</p><p>• Visiting Professor of EU Regulation of Telecommunications and Energy, San Pablo CEU University, Spain, 2013 - 2019</p><h4>Academic Background</h4><p>• Master’s degree in EU Law, College of Europe, Belgium,<strong> </strong>1992</p><p>• B.S. Degree in Law,<strong> </strong>University of Valladolid, Spain, 1989</p><p>• Diploma on accounting and finance for senior management,<em> </em>IESE, Spain, 2008</p><p>• Course on accounting in antidumpling proceedings, European Commission, Belgium, 2007</p><p>• International Leadership Programme, Department of State – US Government, US, 2000</p><p>• Course on EU Competition Law, Université Libre de Bruxelles, Belgium, 1994</p>",25635.0,,[],2023-03-17T12:44:46.932Z,14699.0,128.0,128.0,S,global,0,Appius Aemilius Crassus,"{'corporate_experience': {'companies': ['Creddia Advisors –', 'Issues', 'EU Affairs', 'Telecommunications', 'Off Counsel', 'Law', 'Bird & Bird Law Firm', 'Telecommunications Regulatory Authority', 'C', '##NMC', 'European Commission', 'and Competition', 'Telecommunications Regulatory Authority', 'C', '##NMC'], 'locations': ['Spain', 'Spain', 'Spain', 'Belgium', 'Spain', 'Brussels', 'Belgium']}, 'academic_experience': {'universities': ['IE University', 'and', 'Comillas University', 'CEU University'], 'degrees': ['Law', 'Industrial', 'Intellectual Property Law', 'EU Regulation of Telecommunications and Energy'], 'locations': ['Spain', 'Spain', 'San Pablo', 'Spain']}, 'academic_background': {'universities': ['College of Europe', 'University of Vallad', 'IESE', 'European Commission', 'Department of State', 'US Government', 'Université Libre de Bruxelles'], 'degrees': ['EU Law', 'S', 'International Leadership Programme', 'EU Competition Law'], 'locations': ['Belgium', '##olid', 'Spain', 'Spain', 'Belgium', 'US', 'Belgium']}}"
3,Economics,17166,Adjunct professor,"<p> is a seasoned leader with a proven track record in the strategy consulting industry, specializing in artificial intelligence economics, digital transformation, internet markets, international development, tech policy, ESG, and geopolitics.</p><p>In her executive roles, she has served as the CEO and board member at Women’s World Bank Co, worked in corporate banking at Citibank, and has extensive experience serving on various boards. </p><p>Her current board affiliations include SACYR’s Board of Directors and ESG Committee, MIT Digital Economy Initiative’s Experts Panel, SciTheWorld’s Advisory Board, and ANAR Foundation’s Board of Trustees.</p><p> is also adjunct Professor at IE University, where she lectures on digital ecosystems and artificial intelligence economics at both master’s and undergraduate levels, as well as executive education. She has been a Senior Fellow at Harvard University for over a decade.</p><p>Her diplomatic experience includes representing Colombia as an Economic Attaché in Spain, Director of  Plan Colombia for Europe, and representing the country at the UN’s Kyoto Protocol. She has also served as a senior advisor in three USA presidential campaigns, among other political strategy consultancy roles.</p><p> holds a Bachelor of Science in Business Administration and Economics, a Master’s degree in Auditing, and postgraduate studies in Humanities, among other qualifications and executive education programs completed at Harvard, MIT, Stanford, and Penn, among others.</p><p>As an international speaker,  has participated in prestigious conferences, including the World Economic Forum (Davos), Clinton Global Initiative, Socap Global, Skoll World Forum, South Summit, and the United Nations’ Economic and Social Council, among others.</p><p> holds triple citizenship, encompassing the United States, Spain, and Colombia. This diverse background further enriches her global perspective and expertise.</p><h4>CORPORATE EXPERIENCE</h4><p>• Harvard Strategy Consulting, 2012 - Present</p><p>• CEO, Women’s World Banking Co., 2006 - 2009</p><p>• Independent Consulting, 2004 - 2006</p><p>• Senior Counselor to the President, Government of Colombia, 2002 - 2004</p><p>• Economic Attaché, Embassy of Colombia in Spain, 1996 - 2001</p><p>• Director, Plan Colombia Europe, 1998 - 2001</p><p>• Corporate Banking Analyst, Citibank, 1993 - 1995</p><h4>ACADEMIC EXPERIENCE</h4><p>• Professor of Digital and AI Economics, IE University, 2020 - Present</p><p>• Senior Fellow, Harvard University, 2009 - Present</p><p>• Assistant Professor, University of the Andes, 2008 - 2009</p><h4>ACADEMIC BACKGROUND</h4><p>• MA in Buddhist Studies, Stanford University, 2006</p><p>• Master in Auditing, ICADE (Comillas Pontifical University), 1999</p><p>• Bachelor in Economics and Business Administration, University of the Andes, 1996</p>",37534.0,A professional portrait of a smiling woman with blond hair wearing a blue blazer.,['woman' 'portrait' 'smiling' 'blond hair' 'blue blazer' 'professional'],2024-02-15T12:47:08.017Z,79371.0,500.0,500.0,S,global,1,Flavia Prisca,"{'corporate_experience': {'companies': ['Harvard Strategy Consulting', 'Women ’ s World Banking Co.', 'Independent', '##ting', 'Government of Colombia', 'Embassy', 'Plan Colombia Europe', 'Citibank'], 'locations': ['Colombia', 'Spain']}, 'academic_experience': {'universities': ['Digital', 'AI', 'IE University', 'Harvard University', 'University of the Andes'], 'degrees': [], 'locations': []}, 'academic_background': {'universities': ['Stanford University', 'ICADE', 'Comillas Pontifical University', 'University of the Andes'], 'degrees': ['Buddhist Studies', 'Administration'], 'locations': []}}"
4,Science & Technology,40359,,"<p> Carrio is a seasoned technology leader, researcher, and academic with extensive experience in Machine Learning, Computer Vision, Robotics and Automation. He currently serves as the CEO of Dronomy, a company specializing in autonomous drone technology, and as an Adjunct Professor at IE University in Spain.</p><p>Previously, he held roles as Lead Data Scientist at Shapelets, Chief Technology Officer at Accurate Quant, and Co-founder &amp; Head of Technology at ThermoHuman, where he played a pivotal role in advancing AI-driven solutions for various industries. His research career includes positions at the Massachusetts Institute of Technology (MIT), the Autonomous System Technologies Research &amp; Integration Laboratory at Arizona State University, and the Centro de Automática y Robótica (UPM-CSIC), where he focused on computer vision applications for aerial robots.</p><p> holds a Ph.D. in Automation and Robotics from the Universidad Politécnica de Madrid and an Industrial Engineering degree from the Universidad de Oviedo. He has received several prestigious awards, including recognition from the Norman Foster Foundation and multiple honors for his work in robotics.</p><p>Beyond his professional work,  is passionate about advancing innovation through research and education. His expertise spans AI-driven automation, computer vision, and data science, and he actively contributes to technological developments in these fields. In addition to his career in technology, he is also a professional jazz pianist and has performed at international jazz festivals, showcasing his artistic talent alongside his scientific and entrepreneurial pursuits.</p><h4><strong>Corporate Experience</strong></h4><p>• CEO, Dronomy, Spain, 2020 – Present</p><p>• Lead Data Scientist, Shapelets, Spain, 2021 – 2024</p><p>• Chief Technology Officer, Accurate Quant, Spain, 2020 – 2021</p><p>• Chief Technology Officer, ThermoHuman, Spain, 2015 – 2021</p><p>• Research Scientist, Centre for Automation and Robotics (UPM-CSIC), Spain, 2013 – 2020</p><p>• Research Scholar, Massachusetts Institute of Technology, USA, 2017 – 2018</p><p>• Research Scholar, Autonomous System Technologies Research &amp; Integration Laboratory, Arizona State University, USA, 2015</p><p>• Researcher, Universidad de Oviedo, Spain, 2012 – 2013</p><h4><strong>Academic Experience</strong></h4><p>• Adjunct Professor of Computer Vision, IE University, Spain, 2022 – Present</p><h4><strong>Academic Background</strong></h4><p>• Ph.D. in Automation and Robotics, Universidad Politécnica de Madrid, Spain, 2020</p><p>• Industrial Engineer, Universidad de Oviedo, Spain, 2012</p>",182500.0,,[],2025-04-07T10:15:21.908Z,15906.0,500.0,500.0,S,global,0,Appius Aemilius Scipio,"{'corporate_experience': {'companies': ['A', '##urate', '##uant', '##rmo', '##uman', 'Centre for Automation and Robotics', 'UPM', 'CSIC', 'Massachusetts Institute of Technology', 'Autonomous System Technologies Research & Integration Laboratory', 'Arizona State University', 'Universidad de Oviedo'], 'locations': ['Spain', 'S', '##hapel', '##ets', 'Spain', 'Q', 'Spain', 'The', '##H', 'Spain', 'Spain', 'USA', 'USA', 'Spain']}, 'academic_experience': {'universities': ['Computer Vision', 'IE University'], 'degrees': [], 'locations': ['Spain']}, 'academic_background': {'universities': ['Universidad Politécnica de Madrid', 'Universidad de O'], 'degrees': ['##mation and Robotics'], 'locations': ['Spain', '##viedo', 'Spain']}}"
5,Information Systems & Technology,29474,,"<p>Adrian, recognized professional with over 20 years of experience, from which 15 in consulting, achieved deep functional and technical savviness in Telecommunications, Technology and Media Companies. Worked in international environments leading of big sized and mixed (onshore and offshore teams). Based in the Middle East since Dec 2010.</p><p>Professor of Technology &amp; Innovation Management and Digital Transformation at IE Business School, Prof. Adrian   has played relevant roles in consulting firms involved in global and international initiatives, supporting the guidance of several top tier companies business and technology transformation.</p><p>Adrian joined Boston Consulting Group as Associate Director, Digital Transformation focusing on BCG's Digital and TA business footprint in the Middle East and ultimately the CEMA region.</p><p>He believes that technology and enterprise strategy are strongly correlated in such a way that success of the company technology strategy implementation relates not only with the technology itself but also on internal and external non-technological factors that need to be considered and managed correctly.</p><h4><strong>Corporate Experience</strong></h4><p>• Associate Director, Digital Transformation, Boston Consulting Group, UAE, 2019-nowadays</p><p>• Transformation Lead, Etisalat, UAE, 2013-2019</p><p>• Senior Business Manager on TMT Industries, Neoris, UAE 2010-2013</p><p>• SVP, “NewCo” Chief Technology Officer, Havas Digital, Spain, 2007-2010</p><p>• Manager on TMT Industries, Accenture, Spain, 2000-2007</p><h4><strong>Academic Experience</strong></h4><p>• Adjunt Professor on Digital Transformation at IE</p><p>• Adjunt Professor on Technology and Innovation Management at IE</p><h4><strong>Academic Background</strong></h4><p>• International Executive MBA on Advanced Global Management, IE Business School, Spain, 2015</p><p>• Master's Degree in Industrial Engineering - Automation and Robotics, Universidad Politécnica de Madrid, Spain, 1999</p>",16107.0,"A professional portrait of a smiling man wearing a suit, with a tropical plant in the background.",['portrait' 'man' 'smiling' 'suit' 'professional' 'tropical plant'],2022-11-18T07:21:22.672Z,12333.0,170.0,170.0,S,global,0,Appius Aemilius Severus,"{'corporate_experience': {'companies': ['Digital Transformation', 'Boston Consulting Group', 'TMT Industries', 'SVP', 'NewCo', 'Havas Digital', 'TMT Industries'], 'locations': ['UAE', 'E', '##tisalat', 'UAE', 'Neoris', 'UAE', 'Spain', 'Accenture', 'Spain']}, 'academic_experience': {'universities': ['IE', 'Technology and Innovation Management', 'IE'], 'degrees': ['Digital Transformation'], 'locations': []}, 'academic_background': {'universities': ['Advanced Global', 'IE Business School', 'Universidad Politécnica de Madrid'], 'degrees': ['International Executive MBA', 'Management', 'Industrial Engineering', 'Robotics'], 'locations': ['Spain', 'Spain']}}"
6,International Relations,29470,,"<p>Adrian   is Adjunct Professor of Negotiation and Public Advocacy at IE University and President of beBartlet, a public advocacy firm.</p><p>He has been a business consultant in the field of digitization, M&amp;A and new business models and political analyst for CNN en Español and different media outlets. He was part of a diplomatic delegation of the United Nations (UN) and was a collaborating researcher at Elcano Royal Institute.</p><p>He is currently President of PIMEC Jóvenes Madrid, the employers’ association for small and medium-sized Catalan companies, and Vice-president of the Columbia Alumni Association Spain. He is also a member of the Advisory Council of Blum – Venture Building for Social Impact and of 1Planet4All of the NGO Ayuda en Acción.</p><p>Adrian has been recognized as one of the 100 most creative people in the business world in Spain in 2022 by Forbes magazine and as one of the most influential emerging leaders according to the Nova 111 Spain list in 2022.</p><h4>CORPORATE EXPERIENCE</h4><p>• Partner and president, beBartlet – a public advocacy firm, 2020 – Present</p><p>• Collaborating researcher, Elcano Royal Institute, 2019 – 2021</p><p>• Advisor, United Nations, USA, 2018 – 2019</p><p>• Consultant, Management Solutions, Spain, 2015 – 2018</p><h4>ACADEMIC EXPERIENCE</h4><p>• Adjunct Professor of Negotiation and Public Advocacy, IE University, Spain, 2020 – Present</p><p>• Professor of negotiation, Diplomatic School of Spain, Spain, 2019 – Present</p><h4>ACADEMIC BACKGROUND</h4><p>• Georgetown Leadership Seminar (GLS), Georgetown University, USA, 2022</p><p>• Master of Science (MSc) in Negotiation and Conflict Resolution, Columbia University, USA, 2019</p><p>• Program on Negotiation (PON), Harvard University, USA, 2018</p><p>• Master in Highly Regulated Industries, ICADE (Universidad Pontificia de Comillas), Spain, 2017</p><p>• Graduated in Economics, Pompeu Fabra University, Spain, 2015</p>",21792.0,A man gesturing while speaking at a conference table in a meeting room with a projected screen in the background.,"['man' 'speaking' 'conference' 'meeting' 'projected screen' 'gesturing'
 'indoor']",2023-01-25T09:52:38.027Z,6656.0,170.0,170.0,S,global,0,Appius Antonius Lepidus,"{'corporate_experience': {'companies': ['##Bartlet', 'Elcano Royal Institute', 'United Nations', 'Management Solutions'], 'locations': ['USA', 'Spain']}, 'academic_experience': {'universities': ['Public Ad', 'IE University', 'Diplomatic School of Spain'], 'degrees': [], 'locations': ['Spain', 'Spain']}, 'academic_background': {'universities': ['Georgetown', 'Georgetown University', 'Columbia University', 'Harvard University', '##ulated', 'ICADE', 'Universidad Pontificia de Comillas', 'Pompeu Fabra University'], 'degrees': ['Leadership Seminar', 'GLS', 'MS', 'and Conflict Resolution', 'on N', '##tion'], 'locations': ['USA', 'USA', 'USA', 'Spain', 'Spain']}}"
7,Science & Technology,40359,,"<p> is a Ph.D candidate at the university of Wroclaw. His research is in model theory, a subfield of mathematical logic. He obtained a Bachelor's degree in Mathematics and a Master’s degree in pure and applied mathematics at Universidad Autónoma de Madrid. He is interested in mathematics applications to healthcare and economics.</p><h4><strong>Academic Experience</strong></h4><p>• Adjunct Professor, Mathematics for life sciences, University of Wrocław, 2023 – 2024</p><p>• Adjunct Professor, Mathematics for life sciences, University of Wrocław, 2022 – 2023</p><h4>Academic Background</h4><p>• Ph.D. candidate in Mathematics, University of Wrocław, Poland, 2020 – Present</p><p>• Master in Pure and Applied Mathematics, Universidad Autónoma de Madrid, 2020</p><p>• Bachelor in Mathematics, Universidad Autónoma de Madrid, 2019</p>",178756.0,,[],2024-12-16T12:24:32.314Z,16254.0,500.0,500.0,S,global,0,Appius Antonius Naso,"{'corporate_experience': {'companies': [], 'locations': []}, 'academic_experience': {'universities': ['University of Wrocław', 'University of Wrocław'], 'degrees': [], 'locations': []}, 'academic_background': {'universities': ['University of Wrocław', 'Applied Mathematics', 'Universidad Autónoma de Madrid', 'Universidad Autónoma de Madrid'], 'degrees': [], 'locations': ['Poland']}}"
8,Public Law & Global Governance,40352,,"<p>  is Adjunct Professor at IE University where he teaches public and administrative law. Adrian is an experienced Spanish abogado &amp; European attorney working in international legal and public affairs while completing his Ph.D. at the European University Institute. His research focuses on comparative administrative and constitutional law, particularly matters of rule of law, transparency, and accountability. As a professional, he devises innovative legal solutions to address technical and scientific challenges within regulated industries such as agriculture, chemicals, sustainability, and technology. Adrian’s expertise lies in designing and implementing domestic and transnational strategies to navigate complex legislative politics, agency regulatory processes, and multilevel administrative procedures, both in and out of court. Committed to building synergies between public policy and academia, he counts with several years of international teaching experience at American and European universities. Adrian was a Fulbright scholar and is affiliated with several research centers in the United States where he often participates in multidisciplinary panel discussions.</p><h4>Corporate Experience</h4><p>• Legal &amp; Policy Adviser, EU Focus Group, Belgium, 2021 - Present </p><p>• Legal &amp; Regulatory Affairs Manager, CaixaBank, Belgium, 2015 - 2016</p><p>• Legislative Assistant Intern, European Parliament, Belgium, 2015</p><h4>Academic Experience</h4><p>• Program Director and Adjunct Professor of Public Law, Universidad de las Hespérides, Spain, 2023 - Present</p><p>• Assistant in Comparative Law, Université Libre de Bruxelles, Belgium, 2022 - Present</p><p>• Lecturer in Law, Universitat Oberta de Catalunya, Spain, 2021 - 2022</p><p>• Lecturer, Università degli Studi di Siena, Italy, 2021 - 2022</p><p>• Academic Tutor, Alma Mater Studiorum – Università di Bologna, Italy, 2021 - 2022</p><p>• Visiting Lecturer, Katholische Universität Eichstätt-Ingolstadt, Germany, 2019</p><p>• Adjunct Professor, Boston College, USA, 2017 - 2019</p><p>• Adjunct Professor, Framingham State University, USA, 2018</p><h4>Academic Background</h4><p>• Ph.D. in Laws, European University Institute, Italy, ongoing</p><p>• LL.M. in Comparative, European and International Laws, European University Institute, Italy, 2022</p><p>• Máster Universitario de Abogacía (LL.M.), Universitat Oberta de Catalunya, Spain, 2020</p><p>• M.A. in Philosophy (Fulbright scholar), Boston College, USA, 2018</p><p>• M.A. in European Political and European Studies, College of Europe, Belgium, 2015</p><p>• Graduado en Derecho (J.D. equivalent), Universidad Católica de Ávila, Spain, 2014</p><p>• Graduado en Filosofía (B.A.), Universidad Pontificia de Salamanca, Spain, 2014</p>",145862.0,Portrait of a smiling young man dressed in a business suit,['portrait' 'smiling' 'young man' 'business suit' 'formal'],2024-04-25T10:52:04.757Z,95957.0,500.0,500.0,S,global,0,Appius Calpurnius Paullus,"{'corporate_experience': {'companies': ['EU Focus Group', 'European Parliament'], 'locations': ['Belgium', 'C', '##aixaBank', 'Belgium', 'Belgium']}, 'academic_experience': {'universities': ['Public', 'Universidad de las Hespé', 'Université Libre de Bruxelles', 'Universitat Oberta de Cat', 'Un', '##iversità degli Studi di Siena', 'Alma Mat', 'Studio', 'Università di Bologna', 'Katholische Universität Eich', '##ät', 'Boston College', 'Framingham State University'], 'degrees': ['Comparative Law'], 'locations': ['##rides', 'Spain', 'Belgium', '##alunya', 'Spain', 'Italy', '##er', 'Italy', '##st', '##t', 'In', '##golstadt', 'Germany', 'USA', 'USA']}, 'academic_background': {'universities': ['European University Institute', 'European University Institute', 'LL', 'M', 'Universitat O', '##a de', 'Boston College', 'College of Europe', 'Universidad Católica de Ávila', 'Graduado en Filosofía', 'Universidad Pontificia de Sal'], 'degrees': ['Laws', 'Comparative', 'European', 'International Laws', 'Fu', '##bright', 'European Political and European Studies', 'G', '##o en Derecho', 'D'], 'locations': ['Italy', 'Italy', '##bert', 'Catalunya', 'Spain', 'USA', 'Belgium', 'Spain', 'B', 'A', '##amanca', 'Spain']}}"
9,Science & Technology,40359,,"<p>Dr  holds a PhD in Artificial Intelligence from Technical University of Cartagena in collaboration with University Carlos III of Madrid. He also holds a BSc in Telecommunication Engineering from Technical University of Cartagena. During the last years, he has taken part in research projects involving deep neural networks, computer vision and e-health technologies with several papers in important research journals. He has more than eight years of experience in private companies, working as a data scientist, technical leader, and project manager on all kind of sectors.</p><h4>CORPORATE EXPERIENCE</h4><p>• Advanced Analytics Manager, Capgemini, Spain, 2021 – Present</p><p>• Lead Data Scientist, Boeing Europe, Spain, 2019 – 2021</p><p>• Data Scientist Consultant, Minsait by Indra, Spain, 2017 – 2019</p><p>• Data Scientist, PC Componentes, Spain, 2015 – 2017</p><h4>ACADEMIC EXPERIENCE</h4><p>• Adjunct Professor of Advanced Analytics, IE University, Spain, 2022 – Present</p><h4>ACADEMIC BACKGROUND</h4><p>• Ph.D. in Artificial Intelligence, Technical University of Cartagena, Spain, 2015 – 2020</p><p>• Advanced Telecommunications Engineering (Bachelor &amp; MsC), Technical University of Cartagena, Spain, 2009 – 2014</p>",21598.0,,[],2023-01-20T13:02:17.556Z,32506.0,200.0,200.0,S,global,0,Appius Calpurnius Severus,"{'corporate_experience': {'companies': ['Capgemini', 'Boeing Europe', 'PC Componentes'], 'locations': ['Spain', 'Spain', 'Minsait by', 'Indra', 'Spain', 'Spain']}, 'academic_experience': {'universities': ['Analytics', 'IE University'], 'degrees': [], 'locations': ['Spain']}, 'academic_background': {'universities': ['Technical University of Cartagena', 'Advanced Telecommunications', 'Technical University of Cartagena'], 'degrees': ['Artificial Intelligence', 'Engineering', 'Ms'], 'locations': ['Spain', 'Spain']}}"
